system:index,Name,istarget,s1_2018,.geo
00000000000000000669_0,os_211515,0,"[[0.7036889791488647], [0.5656781792640686], [0.37952834367752075], [0.3958818018436432], [0.26943618059158325], [0.5525529384613037], [0.5710246562957764], [0.35408705472946167], [0.17224937677383423], [0.3159853518009186], [0.30481353402137756], [0.35811132192611694], [0.24334309995174408], [0.8534963726997375], [0.32636451721191406], [0.8948172330856323]]",
0000000000000000066a_0,os_211515,0,"[[0.8228471279144287], [0.5109493136405945], [0.5445492267608643], [0.5253915786743164], [0.5379476547241211], [0.6602379083633423], [0.6592159271240234], [0.1559877097606659], [0.4316686689853668], [0.5695700645446777], [0.4846872389316559], [0.3116256296634674], [0.28333553671836853], [0.8620288372039795], [0.566704511642456], [0.9314415454864502]]",
0000000000000000066b_0,os_211546,0,"[[0.29976892471313477], [0.38770467042922974], [0.463223397731781], [0.20809578895568848], [0.14450514316558838], [0.492436945438385], [0.26126453280448914], [0.23077203333377838], [0.16743524372577667], [0.16521675884723663], [0.29378843307495117], [0.2659817934036255], [0.4117203950881958], [0.5000994205474854], [0.3690953850746155], [0.32160380482673645]]",
0000000000000000066c_0,os_211546,0,"[[0.14821501076221466], [0.6985172033309937], [0.34996217489242554], [0.303592324256897], [0.37862470746040344], [0.36369821429252625], [0.44307655096054077], [0.2822767496109009], [0.1839483380317688], [0.46873319149017334], [0.24759075045585632], [0.30990585684776306], [0.4124685525894165], [0.5996654033660889], [0.3213476538658142], [0.7888096570968628]]",
0000000000000000066d_0,os_211546,0,"[[0.2984359860420227], [0.2721559405326843], [0.25260403752326965], [0.15756700932979584], [0.35997265577316284], [0.11797302961349487], [0.38189929723739624], [0.2641826570034027], [0.15242379903793335], [0.19878916442394257], [0.28440171480178833], [0.47430673241615295], [0.27937906980514526], [0.4334169030189514], [0.3071706295013428], [0.7907708883285522]]",
0000000000000000066e_0,os_211440,0,"[[0.8988453149795532], [0.3040687143802643], [0.5660044550895691], [0.41960424184799194], [0.4630720019340515], [0.5875810980796814], [0.5798683166503906], [0.45624738931655884], [0.32112056016921997], [0.2982426583766937], [0.1591198444366455], [0.3025535047054291], [0.28611570596694946], [0.29163604974746704], [0.1535567194223404], [0.3091375231742859]]",
0000000000000000066f_0,os_211440,0,"[[0.30891406536102295], [0.32586008310317993], [0.3585050106048584], [0.553733766078949], [0.5928840637207031], [0.5561541318893433], [0.6261043548583984], [0.19452157616615295], [0.3523463010787964], [0.4773692488670349], [0.604607880115509], [0.3353021442890167], [0.36885881423950195], [0.16331207752227783], [0.18499433994293213], [0.27519041299819946]]",
00000000000000000670_0,os_211440,0,"[[0.7182863354682922], [0.5781940221786499], [0.6175029873847961], [0.42977020144462585], [0.3830994963645935], [0.6785422563552856], [0.23647215962409973], [0.22008231282234192], [0.3292405903339386], [0.33946114778518677], [0.28801217675209045], [0.40134546160697937], [0.1826634407043457], [0.28547555208206177], [0.29045772552490234], [0.2641545832157135]]",
00000000000000000671_0,os_211501,0,"[[0.1983460634946823], [0.4062483012676239], [0.30513161420822144], [0.4621306359767914], [0.24651676416397095], [0.4057389199733734], [0.3078199625015259], [0.45488283038139343], [0.3015863597393036], [0.5228030681610107], [0.2840537428855896], [0.30141472816467285], [0.21512693166732788], [0.5159841179847717], [0.31533294916152954], [0.42250195145606995]]",
00000000000000000672_0,os_211501,0,"[[0.22351469099521637], [0.4452356696128845], [0.23165056109428406], [0.49399662017822266], [0.1853358894586563], [0.2505776882171631], [0.38936659693717957], [0.18342818319797516], [0.572083055973053], [0.46440741419792175], [0.2307494878768921], [0.266296923160553], [0.18196435272693634], [0.6137028336524963], [0.4455847442150116], [0.38349583745002747]]",
00000000000000000673_0,os_211501,0,"[[0.14257633686065674], [0.3555116057395935], [0.19667989015579224], [0.35905981063842773], [0.28164738416671753], [0.48442500829696655], [0.23818759620189667], [0.24493026733398438], [0.23500047624111176], [0.24762028455734253], [0.3713659346103668], [0.23491355776786804], [0.3861638307571411], [0.25417667627334595], [0.22352612018585205], [0.2938835024833679]]",
00000000000000000674_0,os_216715,0,"[[0.31599751114845276], [0.3142261505126953], [0.16841672360897064], [0.30672934651374817], [0.3390760123729706], [0.28427109122276306], [0.20036575198173523], [0.26561981439590454], [0.15681391954421997], [0.14447127282619476], [0.3438720703125], [0.22049105167388916], [0.8617936372756958], [0.8672578930854797], [0.5567705035209656], [0.9091342687606812]]",
